x1,x2,Derajat Keanggotaan Cluster 1,Derajat Keanggotaan Cluster 2,Kecenderungan Masuk Cluster
2.8,3.0,0.8825,0.1175,C1
3.0,3.0,0.8651,0.1349,C1
3.0,2.6,0.89517,0.10483,C1
2.6,2.1,0.957,0.043,C1
2.1,1.4,0.59482,0.40518,C1
1.4,0.7,0.07495,0.92505,C2
0.7,0.3,0.11433,0.88567,C2
0.3,0.1,0.16293,0.83707,C2
0.1,0.2,0.17008,0.82992,C2
0.2,0.5,0.13849,0.86151,C2
0.5,1.1,0.07528,0.92472,C2
1.1,1.7,0.18072,0.81928,C2
1.7,2.3,0.85574,0.14426,C1
2.3,2.7,0.95134,0.04866,C1
2.7,2.3,0.95101,0.04899,C1
2.3,1.9,0.94317,0.05683,C1
1.9,1.6,0.62104,0.37896,C1
1.6,1.4,0.22999,0.77001,C2
1.4,1.5,0.16317,0.83683,C2
1.5,1.7,0.37591,0.62409,C2
1.7,2.1,0.8078,0.1922,C1
2.1,2.6,0.95753,0.04247,C1
2.6,2.9,0.90967,0.09033,C1
2.9,3.1,0.86339,0.13661,C1
3.1,3.0,0.85544,0.14456,C1
3.0,2.6,0.89517,0.10483,C1
2.6,1.9,0.92155,0.07845,C1
1.9,1.2,0.34806,0.65194,C2
1.2,0.6,0.06422,0.93578,C2
0.6,0.2,0.13285,0.86715,C2
0.2,0.1,0.17015,0.82985,C2
0.1,0.2,0.17008,0.82992,C2
0.2,0.7,0.12772,0.87228,C2
0.7,1.3,0.05632,0.94368,C2
1.3,1.9,0.39877,0.60123,C2
1.9,2.5,0.93401,0.06599,C1
2.8,2.6,0.92348,0.07652,C1
2.6,2.1,0.957,0.043,C1
2.1,1.7,0.80742,0.19258,C1
1.7,1.4,0.30629,0.69371,C2
1.4,1.3,0.07464,0.92536,C2
1.3,1.4,0.07417,0.92583,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.2,0.89299,0.10701,C1
2.2,2.7,0.94859,0.05141,C1
2.7,3.0,0.88966,0.11034,C1
3.0,3.2,0.84549,0.15451,C1
3.2,3.0,0.84544,0.15456,C1
3.0,2.5,0.89891,0.10109,C1
2.5,1.8,0.90216,0.09784,C1
1.8,1.0,0.22221,0.77779,C2
1.0,0.5,0.07441,0.92559,C2
0.5,0.1,0.15044,0.84956,C2
0.1,0.1,0.17778,0.82222,C2
0.1,0.4,0.15607,0.84393,C2
0.4,0.9,0.09134,0.90866,C2
0.9,1.5,0.07655,0.92345,C2
1.5,2.2,0.70855,0.29145,C1
2.9,2.8,0.89412,0.10588,C1
2.8,2.4,0.93352,0.06648,C1
2.4,1.9,0.94119,0.05881,C1
1.9,1.5,0.53972,0.46028,C1
1.5,1.3,0.121,0.879,C2
1.3,1.2,0.02471,0.97529,C2
1.2,1.4,0.05175,0.94825,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.3,0.90456,0.09544,C1
2.3,2.7,0.95134,0.04866,C1
2.7,3.1,0.8764,0.1236,C1
3.1,3.1,0.84693,0.15307,C1
3.1,2.8,0.87037,0.12963,C1
2.8,2.3,0.93394,0.06606,C1
2.3,1.6,0.79917,0.20083,C1
1.6,0.9,0.11565,0.88435,C2
0.9,0.4,0.09204,0.90796,C2
0.4,0.2,0.14565,0.85435,C2
0.2,0.3,0.15324,0.84676,C2
0.3,0.6,0.11978,0.88022,C2
0.6,1.2,0.06299,0.93701,C2
1.2,1.8,0.27662,0.72338,C2
2.7,2.8,0.91512,0.08488,C1
2.8,2.6,0.92348,0.07652,C1
2.6,2.2,0.96487,0.03513,C1
2.2,1.7,0.83746,0.16254,C1
1.7,1.4,0.30629,0.69371,C2
1.4,1.2,0.05263,0.94737,C2
1.2,1.2,0.00909,0.99091,C2
1.2,1.4,0.05175,0.94825,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.3,0.90456,0.09544,C1
2.3,2.8,0.9343,0.0657,C1
2.8,3.0,0.8825,0.1175,C1
3.0,3.0,0.8651,0.1349,C1
3.0,2.6,0.89517,0.10483,C1
2.6,2.1,0.957,0.043,C1
2.1,1.5,0.66539,0.33461,C1
1.5,0.9,0.07845,0.92155,C2
0.9,0.5,0.07591,0.92409,C2
0.5,0.4,0.11584,0.88416,C2
0.4,0.6,0.10727,0.89273,C2
0.6,1.0,0.05675,0.94325,C2
1.0,1.5,0.07336,0.92664,C2
2.5,2.8,0.93001,0.06999,C1
2.8,2.7,0.91507,0.08493,C1
2.7,2.4,0.94951,0.05049,C1
2.4,2.0,0.96689,0.03311,C1
2.0,1.6,0.68673,0.31327,C1
1.6,1.2,0.14688,0.85312,C2
1.2,1.1,0.00434,0.99566,C2
1.1,1.2,0.00397,0.99603,C2
1.2,1.5,0.09232,0.90768,C2
1.5,1.9,0.53918,0.46082,C1
1.9,2.3,0.94379,0.05621,C1
2.3,2.7,0.95134,0.04866,C1
2.7,2.9,0.90267,0.09733,C1
2.9,2.8,0.89412,0.10588,C1
2.8,2.4,0.93352,0.06648,C1
2.4,1.9,0.94119,0.05881,C1
1.9,1.4,0.46466,0.53534,C2
1.4,1.0,0.04277,0.95723,C2
1.0,0.7,0.04135,0.95865,C2
0.7,0.7,0.06234,0.93766,C2
0.7,0.9,0.04491,0.95509,C2
0.9,1.3,0.02791,0.97209,C2
2.2,2.6,0.96529,0.03471,C1
2.6,2.7,0.93664,0.06336,C1
2.7,2.6,0.93658,0.06342,C1
2.6,2.2,0.96487,0.03513,C1
2.2,1.8,0.89241,0.10759,C1
1.8,1.4,0.38662,0.61338,C2
1.4,1.2,0.05263,0.94737,C2
1.2,1.1,0.00434,0.99566,C2
1.1,1.2,0.00397,0.99603,C2
1.2,1.5,0.09232,0.90768,C2
1.5,1.9,0.53918,0.46082,C1
1.9,2.2,0.9372,0.0628,C1
2.2,2.5,0.98005,0.01995,C1
2.5,2.6,0.95785,0.04215,C1
2.6,2.5,0.95777,0.04223,C1
2.5,2.2,0.97968,0.02032,C1
2.2,1.8,0.89241,0.10759,C1
1.8,1.4,0.38662,0.61338,C2
1.4,1.1,0.04293,0.95707,C2
1.1,1.0,0.00359,0.99641,C2
1.0,1.0,0.00631,0.99369,C2
1.0,1.2,0.00712,0.99288,C2
2.0,2.3,0.97227,0.02773,C1
2.3,2.5,0.98129,0.01871,C1
2.5,2.6,0.95785,0.04215,C1
2.6,2.4,0.96433,0.03567,C1
2.4,2.1,0.98334,0.01666,C1
2.1,1.7,0.80742,0.19258,C1
1.7,1.4,0.30629,0.69371,C2
1.4,1.2,0.05263,0.94737,C2
1.2,1.1,0.00434,0.99566,C2
1.1,1.2,0.00397,0.99603,C2
1.2,1.4,0.05175,0.94825,C2
1.4,1.8,0.38555,0.61445,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.3,0.99007,0.00993,C1
2.3,2.4,0.99209,0.00791,C1
2.4,2.3,0.99196,0.00804,C1
2.3,2.1,0.98974,0.01026,C1
2.1,1.8,0.869,0.131,C1
1.8,1.5,0.46046,0.53954,C2
1.5,1.3,0.121,0.879,C2
1.3,1.3,0.04268,0.95732,C2
1.3,1.3,0.04268,0.95732,C2
1.8,2.1,0.86943,0.13057,C1
2.1,2.4,0.98378,0.01622,C1
2.4,2.5,0.97721,0.02279,C1
2.5,2.4,0.97711,0.02289,C1
2.4,2.3,0.99196,0.00804,C1
2.3,2.0,0.97178,0.02822,C1
2.0,1.6,0.68673,0.31327,C1
1.6,1.3,0.18071,0.81929,C2
1.3,1.2,0.02471,0.97529,C2
1.2,1.1,0.00434,0.99566,C2
1.1,1.2,0.00397,0.99603,C2
1.2,1.4,0.05175,0.94825,C2
1.4,1.6,0.22916,0.77084,C2
1.6,1.9,0.62085,0.37915,C1
